E(X) LP,E(Y) LP,E(Z) LP,E(X) HP,E(Y) HP,E(Z) HP,Var HP X,Var HP Y,Var HP Z,MinMax X,MinMax Y,MinMax Z
-24,-24,-24,-386,878,-1424,1120019,144390,521857,-2097,0,-3134
7,7,7,1253,1486,474,267092,166347,249253,0,0,-933
6,6,6,1055,1651,-64,246010,226344,141063,-96,0,-800
-5,-5,-5,464,1944,383,107653,168760,125789,-171,0,-567
-9,-9,-9,640,1913,472,164010,162323,153118,-155,0,-207
15,16,15,519,1810,644,264416,301538,242633,-683,0,-362
4,4,4,548,1807,682,219749,393650,278267,-730,0,-400
-16,-16,-16,596,1738,694,317772,630226,355218,-706,0,-586
5,6,5,661,1746,758,360695,544465,522504,-695,0,-816
-34,-33,-34,738,1844,649,520602,378183,562143,-1019,0,-1423
-9,-8,-9,612,1761,692,277163,463020,377071,-412,0,-415
-4,-4,-4,661,1826,692,214264,621858,431329,-494,0,-75
-14,-13,-14,534,1843,724,439931,592631,272020,-1117,0,-561
-14,-13,-14,573,1719,723,259000,467747,389647,-854,0,-499
-4,-4,-4,593,1731,826,174518,503344,353382,-168,0,-899
-10,-9,-10,550,1702,955,323107,510393,518162,-996,0,-111
-4,-4,-4,480,1825,708,334523,639623,448671,-1544,0,-356
8,9,8,532,1794,661,413433,480936,467583,-919,0,-491
-1,-1,-1,535,1918,543,342307,475019,343775,-748,0,-348
6,7,6,564,1748,762,182124,391471,401312,-417,0,-271
-13,-12,-13,458,1870,750,367971,619492,462784,-1084,0,-467
0,1,0,483,1770,691,304256,632237,431486,-768,0,-705
-5,-5,-5,482,1827,748,241265,426576,294714,-510,0,-176